EvenementID;GebruikerID;Aanwezigheidsstatus
E003;G131;Afwezig
E016;G127;Afwezig
E034;G309;Afwezig
E020;G297;Bijgewoond
E022;G083;Afwezig
E032;G007;Bijgewoond
E026;G060;Afwezig
E011;G048;Afwezig
E002;G197;Bijgewoond
E023;G204;Afwezig
E023;G301;Bijgewoond
E023;G042;Bijgewoond
E020;G266;Afwezig
E016;G097;Geregistreerd
E033;G217;Bijgewoond
E018;G085;Bijgewoond
E004;G219;Bijgewoond
E017;G130;Bijgewoond
E025;G155;Bijgewoond
E002;G257;Geregistreerd
E036;G273;Bijgewoond
E018;G196;Afwezig
E015;G301;Bijgewoond
E010;G158;Geregistreerd
E022;G211;Afwezig
E026;G046;Afwezig
E009;G056;Geregistreerd
E006;G294;Afwezig
E025;G177;Bijgewoond
E034;G074;Bijgewoond
E040;G138;Bijgewoond
E015;G108;Geregistreerd
E027;G204;Afwezig
E016;G158;Afwezig
E037;G004;Geregistreerd
E010;G087;Afwezig
E028;G252;Bijgewoond
E020;G001;Afwezig
E039;G050;Bijgewoond
E022;G036;Geregistreerd
E029;G214;Geregistreerd
E035;G269;Afwezig
E009;G214;Afwezig
E014;G148;Bijgewoond
E009;G221;Bijgewoond
E038;G088;Bijgewoond
E035;G091;Bijgewoond
E013;G192;Bijgewoond
E009;G096;Afwezig
E020;G069;Bijgewoond
E034;G102;Geregistreerd
E009;G250;Geregistreerd
E028;G094;Afwezig
E010;G258;Afwezig
E037;G057;Geregistreerd
E011;G231;Afwezig
E021;G291;Bijgewoond
E005;G109;Afwezig
E036;G096;Bijgewoond
E035;G103;Bijgewoond
E008;G031;Geregistreerd
E012;G094;Bijgewoond
E021;G099;Afwezig
E010;G133;Afwezig
E002;G210;Bijgewoond
E021;G226;Geregistreerd
E027;G320;Bijgewoond
E027;G056;Afwezig
E020;G086;Geregistreerd
E029;G041;Bijgewoond
E018;G151;Afwezig
E010;G044;Geregistreerd
E013;G194;Geregistreerd
E007;G064;Bijgewoond
E009;G142;Geregistreerd
E012;G033;Geregistreerd
E002;G176;Geregistreerd
E040;G016;Afwezig
E040;G300;Bijgewoond
E018;G121;Geregistreerd
E039;G245;Geregistreerd
E037;G249;Afwezig
E040;G052;Bijgewoond
E015;G005;Afwezig
E039;G032;Bijgewoond
E015;G137;Bijgewoond
E015;G004;Geregistreerd
E002;G299;Bijgewoond
E023;G022;Afwezig
E006;G050;Bijgewoond
E031;G109;Bijgewoond
E009;G268;Bijgewoond
E033;G004;Afwezig
E039;G193;Geregistreerd
E031;G309;Afwezig
E024;G267;Afwezig
E012;G137;Afwezig
E025;G249;Afwezig
